\HA01KHI KMB 0420210205521     0000                                          0000
L1KMB-COM-14AB        AKA  KMB  2021-04-222021-06-01MOL SUCCESS                   SKMB-104021
L2KMB-COM-14AB        KMB-COM-14A                        0000000000
L3KMB-COM-14AB        KMB-COM-14A    KMB-COM-14A007 OTPU6238450         000000006000350003500031
L4KMB-COM-14AB        KMB-COM-14A    KMB-COM-14A007 KMB-COM-14AAAAG27010-1313          00000600000000007710000BRLFOB              0000000333000
L4KMB-COM-14AB        KMB-COM-14A    KMB-COM-14A007 KMB-COM-14AAAAR92070-0014          00000800000000009450000BRLFOB              0000000305800
L3KMB-COM-14AB        KMB-COM-14A    KMB-COM-14A008 OTPU6238450         000000003000350002600015
L4KMB-COM-14AB        KMB-COM-14A    KMB-COM-14A008 KMB-COM-14AAAAH27010-1313          00000600000000007710000BRLFOB              0000000333000
L3KMB-COM-14AB        KMB-COM-14A    KMB-COM-14A009 OTPU6238450         000000004000350002600015
L4KMB-COM-14AB        KMB-COM-14A    KMB-COM-14A009 KMB-COM-14AAAAU92070-1266          00001000000000003020000BRLFOB              0000000305800
L3KMB-COM-14AB        KMB-COM-14A    KMB-COM-14A010 OTPU6238450         000000003000350002600015
L4KMB-COM-14AB        KMB-COM-14A    KMB-COM-14A010 KMB-COM-14AAAAS92070-0014          00000800000000009450000BRLFOB              0000000305800
L3KMB-COM-14AB        KMB-COM-14A    KMB-COM-14A011 OTPU6238450         000000006000350003500031
L4KMB-COM-14AB        KMB-COM-14A    KMB-COM-14A011 KMB-COM-14AAAAI27010-1313          00000600000000007710000BRLFOB              0000000333000
L4KMB-COM-14AB        KMB-COM-14A    KMB-COM-14A011 KMB-COM-14AAAAT92070-0014          00000800000000009450000BRLFOB              0000000305800
L1KMB-1MU-030         AKA  KMB  2021-04-222021-06-01MOL SUCCESS                   SKMB-104021
L2KMB-1MU-030         KMB-1MU-030    EN650D-J3A1HA       0003000020
L3KMB-1MU-030         KMB-1MU-030    KMB-1MU-030001 OTPU6238450         000000067000560011100045
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030001 KMB-1MU-030AAAB11005-0580  1A      00000200000000239590000BRLFOB              0000025064700
L3KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 BMOU9311643         000000348001110011100108
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAA11004-0064          00000200000000022670000BRLFOB              0000000586600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAC11012-1590          00000200000000000770000BRLFOB              0000000117400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAD11061-0105          00000400000000002100000BRLFOB              0000000039400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAE11061-0107          00000200000000000250000BRLFOB              0000000005000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAF11061-0926          00000200000000008200000BRLFOB              0000000336000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAG12046-0040          00000200000000002270000BRLFOB              0000000176500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAH12048-0102          00000200000000034030000BRLFOB              0000000796500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAI12053-0051          00000200000000002350000BRLFOB              0000000064700
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAJ12053-0059          00000200000000006720000BRLFOB              0000000367900
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAK12053-0071          00000200000000010590000BRLFOB              0000000275000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAL12053-0075          00000200000000019940000BRLFOB              0000001081000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAM120CA0645           00000200000000000290000BRLFOB              0000000112700
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAN120CB0512           00000800000000000120000BRLFOB              0000000031300
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAO120CB0610           00000400000000000170000BRLFOB              0000000045200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAP120CB0614           00000400000000000190000BRLFOB              0000000051800
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAQ120CB0825           00000800000000000410000BRLFOB              0000000142900
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAR120CB0835           00000400000000000520000BRLFOB              0000000174200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAS13063-002           00000200000000000550000BRLFOB              0000000261000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAT130AA0510           00000600000000000080000BRLFOB              0000000032000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAU130AA0612           00000400000000000080000BRLFOB              0000000056000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAV130AA0614           00000200000000000090000BRLFOB              0000000059000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAW130BA0510           00000800000000000080000BRLFOB              0000000031200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAX130BA0520           00000400000000000110000BRLFOB              0000000043600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAY130BA0618           00000400000000000110000BRLFOB              0000000065000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAAZ130BA0620           00000400000000000110000BRLFOB              0000000070000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABA130BA0820           00000400000000000200000BRLFOB              0000000129000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABB130BA0845           00000800000000000300000BRLFOB              0000000209000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABC130BB0635           00000200000000000210000BRLFOB              0000000096000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABD130BB0840           00000400000000000370000BRLFOB              0000000192000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABE130BB0845           00000400000000000430000BRLFOB              0000000208000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABF130CA0820           00000400000000000230000BRLFOB              0000000131000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABG130CA1035           00000800000000000510000BRLFOB              0000000296000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABH13144-0576          00000200000000025880000BRLFOB              0000001666000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABI13193-0006          00000200000000023040000BRLFOB              0000000920000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABJ13271-0575          00000200000000004670000BRLFOB              0000000152200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABK132BA0510           00000200000000000090000BRLFOB              0000000027000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABL132BA0830           00000200000000000290000BRLFOB              0000000143800
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABM132BB0512           00001400000000000140000BRLFOB              0000000030000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABN132BB0608           00000200000000000120000BRLFOB              0000000037900
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABO132BB0814           00000400000000000250000BRLFOB              0000000094400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABP132BB0822           00001200000000000300000BRLFOB              0000000119200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABQ14013-1004          00000200000000000180000BRLFOB              0000000033500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABR14043-0008          00000200000000003280000BRLFOB              0000000041500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABS14092-1086          00000400000000000740000BRLFOB              0000000018400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABT16065-0128          00000400000000007920000BRLFOB              0000000768700
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABU16085-0076          00000200000000032510000BRLFOB              0000004850000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABV16126-0705          00000200000000023830000BRLFOB              0000000788000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABW16126-0743          00000200000000025740000BRLFOB              0000001331500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABX16126-1140          00000400000000001940000BRLFOB              0000000097000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABY180BB0614           00000200000000000180000BRLFOB              0000000052000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AABZ21003-0206          00000100000000076030000BRLFOB              0000008899500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACA21003-0206          00000100000000076030000BRLFOB              0000008899500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACB21007-0601          00000050000000096840000BRLFOB              0000022168000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACC21007-0601          00000050000000096840000BRLFOB              0000022168000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACD21007-0601          00000050000000096840000BRLFOB              0000022168000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACE21007-0601          00000050000000096840000BRLFOB              0000022168000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACF21163-0040          00000080000000125610000BRLFOB              0000014633000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACG21163-0040          00000080000000125610000BRLFOB              0000014633000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACH21163-0040          00000040000000125610000BRLFOB              0000014633000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACI21171-0033          00000400000000028810000BRLFOB              0000001061500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACJ21176-0009          00000200000000007660000BRLFOB              0000000227200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACK21176-0048          00000200000000006210000BRLFOB              0000000059300
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACL21176-0111          00000200000000031920000BRLFOB              0000000113600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACM21176-0704          00000200000000022050000BRLFOB              0000000288600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACN21176-0832          00000200000000059150000BRLFOB              0000000320000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACO220AB0306           00000200000000000020000BRLFOB              0000000004700
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACP224AA0512           00000200000000000040000BRLFOB              0000000028400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACQ224AB0408           00000400000000000050000BRLFOB              0000000012200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACR23051-0042          00000200000000008640000BRLFOB              0000000528400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACS23051-0043          00000200000000008640000BRLFOB              0000000710000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACT27002-0006          00000200000000013470000BRLFOB              0000000194600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACU290Q0606            00000200000000000080000BRLFOB              0000000007200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACV318BA0800           00000400000000000120000BRLFOB              0000000028000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACW33032-0042          00000200000000024420000BRLFOB              0000004595000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACX33040-1109  1A      00000400000000004720000BRLFOB              0000000495000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACY39110-0039          00000200000000005110000BRLFOB              0000000703000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AACZ39112-1053          00000200000000005260000BRLFOB              0000000246300
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADA39112-1054          00000200000000005260000BRLFOB              0000000246300
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADB39156-2695          00000200000000002400000BRLFOB              0000000274400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADC41068-0059          00000200000000021780000BRLFOB              0000006269900
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADD41068-0592          00000200000000026130000BRLFOB              0000004990000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADE42045-018           00000200000000001050000BRLFOB              0000000490200
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADF461DB0600           00000400000000000020000BRLFOB              0000000009400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADG480J1300            00000200000000000060000BRLFOB              0000000004700
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADH49054-0001          00000200000000008580000BRLFOB              0000000499600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADI49063-1055  2A      00000200000000006870000BRLFOB              0000000189000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADJ49091-0001  KD      00001600000000000210000BRLFOB              0000000010400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADK51044-0850          00000200000000020070000BRLFOB              0000000377000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADL51049-0743          00000100000000069350000BRLFOB              0000003803100
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADM51049-0743          00000100000000069350000BRLFOB              0000003803100
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADN52005-0071          00000200000000007880000BRLFOB              0000000080000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADO53044-0556          00000200000000000680000BRLFOB              0000000072800
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADP53044-0584          00000200000000000610000BRLFOB              0000000055600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADQ53044-1185          00000200000000000550000BRLFOB              0000000063000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADR55020-0985          00000200000000011190000BRLFOB              0000000543300
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADS550AA2015           00000400000000000030000BRLFOB              0000000003800
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADT550AA4040           00000200000000000150000BRLFOB              0000000039400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADU551A0408            00000600000000000090000BRLFOB              0000000007600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADV551A0814            00000600000000000320000BRLFOB              0000000053900
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADW555A0408            00000200000000000060000BRLFOB              0000000004400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADX56001-0310          00000050000000041990000BRLFOB              0000004635000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADY56001-0310          00000050000000041990000BRLFOB              0000004635000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AADZ56001-0310          00000050000000041990000BRLFOB              0000004635000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEA56001-0310          00000050000000041990000BRLFOB              0000004635000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEB56001-0311          00000050000000041990000BRLFOB              0000004635000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEC56001-0311          00000050000000041990000BRLFOB              0000004635000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAED56001-0311          00000050000000041990000BRLFOB              0000004635000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEE56001-0311          00000050000000041990000BRLFOB              0000004635000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEF56071-0838          00000200000000000970000BRLFOB              0000000006600
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEG670D1508            00000200000000000150000BRLFOB              0000000001500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEH670D2018            00000200000000000340000BRLFOB              0000000003500
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEI92001-1602          00000200000000000960000BRLFOB              0000000762000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEJ92001-1860          00000200000000000120000BRLFOB              0000000064000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEK92002-1143          00000800000000000200000BRLFOB              0000000055400
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEL92004-0024          00000200000000002350000BRLFOB              0000000276000
L4KMB-1MU-030         KMB-1MU-030    KMB-1MU-030002 KMB-1MU-030AAEM92009-1360          00000200000000000180000BRLFOB              0000000035500
